product_id,nowtime,current_price
693972,2024-06-11 01:38:00,2.99
693972,2024-06-11 20:20:00,2.99
693972,2024-06-12 12:56:00,2.99
693972,2024-06-13 12:20:00,2.99
693972,2024-06-14 12:20:00,2.99
693972,2024-06-15 13:42:00,2.99
693972,2024-06-16 11:39:00,2.99
693972,2024-06-17 12:06:00,2.99
693972,2024-06-18 08:43:00,2.99
693972,2024-06-19 10:06:00,2.99
693972,2024-06-20 13:01:00,3.99
693972,2024-06-21 16:46:00,3.99
693972,2024-06-22 12:18:00,3.99
693972,2024-06-22 12:18:00,3.99
693972,2024-06-23 11:28:00,3.99
693972,2024-06-24 10:50:00,3.99
693972,2024-06-25 11:23:00,3.99
693972,2024-06-26 11:03:00,3.99
693972,2024-06-27 11:08:00,3.99
693972,2024-06-28 12:33:00,3.99
693972,2024-06-29 11:53:00,3.99
693972,2024-06-30 11:28:00,3.99
693972,2024-07-01 11:45:00,3.99
693972,2024-07-02 11:47:00,3.99
693972,2024-07-03 19:01:00,3.99
693972,2024-07-04 09:56:00,3.99
693972,2024-07-05 10:23:00,3.99
693972,2024-07-06 12:17:00,3.99
693972,2024-07-07 12:57:00,3.99
693972,2024-07-08 11:40:00,3.99
693972,2024-07-09 10:15:00,3.99
693972,2024-07-10 09:58:00,3.99
693972,2024-07-11 10:57:00,3.99
693972,2024-07-12 10:00:00,3.99
693972,2024-07-13 10:58:00,3.99
693972,2024-07-14 12:38:00,3.99
693972,2024-07-15 14:26:00,3.99
693972,2024-07-16 11:13:00,3.99
693972,2024-07-17 12:44:00,3.99
693972,2024-07-18 11:22:00,3.99
693972,2024-07-19 11:49:00,3.99
693972,2024-07-20 13:35:00,3.99
693972,2024-07-21 12:05:00,3.99
693972,2024-07-24 11:44:00,3.99
693972,2024-07-25 11:21:00,3.99
693972,2024-07-26 09:55:00,3.99
693972,2024-07-27 12:43:00,3.99
693972,2024-07-28 11:46:00,3.99
693972,2024-07-29 10:44:00,3.99
693972,2024-07-30 10:10:00,3.99
693972,2024-07-31 10:04:00,3.99
693972,2024-08-01 09:15:00,3.99
693972,2024-08-02 12:35:00,3.99
693972,2024-08-03 11:34:00,3.99
693972,2024-08-04 12:23:00,3.99
693972,2024-08-05 13:01:00,3.99
693972,2024-08-06 12:09:00,3.99
693972,2024-08-08 14:56:00,3.25
693972,2024-08-09 14:27:00,3.25
693972,2024-08-10 12:54:00,3.25
693972,2024-08-11 13:46:00,3.25
693972,2024-08-12 11:56:00,3.25
693972,2024-08-13 10:25:00,3.25
693972,2024-08-14 11:52:00,3.25
693972,2024-08-15 10:38:00,3.25
693972,2024-08-16 10:42:00,3.25
693972,2024-08-18 12:46:00,3.25
693972,2024-08-19 10:35:00,3.25
693972,2024-08-20 11:40:00,3.25
693972,2024-08-21 10:12:00,3.25
693972,2024-08-22 12:06:00,3.25
693972,2024-08-23 12:06:00,3.25
693972,2024-08-24 12:24:00,3.25
693972,2024-08-25 12:20:00,3.25
693972,2024-08-26 11:52:00,3.25
693972,2024-08-29 09:55:00,3.25
693972,2024-08-30 11:10:00,3.25
693972,2024-08-31 13:40:00,3.25
693972,2024-09-01 12:49:00,3.25
693972,2024-09-02 12:26:00,3.25
693972,2024-09-03 15:08:00,3.25
693972,2024-09-04 11:45:00,3.25
693972,2024-09-05 12:03:00,3.25
693972,2024-09-06 14:30:00,3.25
693972,2024-09-07 11:01:00,3.25
693972,2024-09-08 11:44:00,3.25
693972,2024-09-09 14:41:00,3.25
693972,2024-09-10 10:15:00,3.25
693972,2024-09-11 11:16:00,3.25
693972,2024-09-12 12:05:00,3.25
693972,2024-09-13 11:21:00,3.25
693972,2024-09-14 12:08:00,3.25
693972,2024-09-15 15:21:00,3.25
693972,2024-09-16 13:21:00,3.25
693972,2024-09-17 12:19:00,3.25
693972,2024-09-18 11:48:00,3.25
693972,2024-09-19 12:05:00,3.99
693972,2024-09-20 11:38:00,3.99
693972,2024-09-21 11:21:00,3.99
693972,2024-09-22 11:24:00,3.99
693972,2024-09-23 09:57:00,3.99
693972,2024-09-24 11:34:00,3.99
